FIPS,Qualifying Name,File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,State (FIPS Code),County of current residence,Census Tract,Geographic Identifier,Area Name,Tribal Tract,Population 25 Years and Over,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Diploma,Population 25 Years and Over: Bachelor's Degree or Better,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Diploma,% Population 25 Years and Over: Bachelor's Degree or Better
15003000904,"Census Tract 9.04, Honolulu County, Hawaii",ACSSF,hi,140,0,363,15,3,904,14000US15003000904,Census Tract 9.04,,1800,19,992,789,1.06,55.11,43.83
15003000905,"Census Tract 9.05, Honolulu County, Hawaii",ACSSF,hi,140,0,364,15,3,905,14000US15003000905,Census Tract 9.05,,1779,46,632,1101,2.59,35.53,61.89
15003001000,"Census Tract 10, Honolulu County, Hawaii",ACSSF,hi,140,0,365,15,3,1000,14000US15003001000,Census Tract 10,,2676,171,1752,753,6.39,65.47,28.14
15003001101,"Census Tract 11.01, Honolulu County, Hawaii",ACSSF,hi,140,0,366,15,3,1101,14000US15003001101,Census Tract 11.01,,1204,171,754,279,14.2,62.62,23.17
15003001102,"Census Tract 11.02, Honolulu County, Hawaii",ACSSF,hi,140,0,367,15,3,1102,14000US15003001102,Census Tract 11.02,,1406,120,860,426,8.53,61.17,30.3
15003001201,"Census Tract 12.01, Honolulu County, Hawaii",ACSSF,hi,140,0,368,15,3,1201,14000US15003001201,Census Tract 12.01,,2597,138,1359,1100,5.31,52.33,42.36
15003001202,"Census Tract 12.02, Honolulu County, Hawaii",ACSSF,hi,140,0,369,15,3,1202,14000US15003001202,Census Tract 12.02,,2236,294,1216,726,13.15,54.38,32.47
15003001300,"Census Tract 13, Honolulu County, Hawaii",ACSSF,hi,140,0,370,15,3,1300,14000US15003001300,Census Tract 13,,2906,187,1495,1224,6.43,51.45,42.12
15003001400,"Census Tract 14, Honolulu County, Hawaii",ACSSF,hi,140,0,371,15,3,1400,14000US15003001400,Census Tract 14,,2079,202,957,920,9.72,46.03,44.25
15003001501,"Census Tract 15.01, Honolulu County, Hawaii",ACSSF,hi,140,0,372,15,3,1501,14000US15003001501,Census Tract 15.01,,1628,177,797,654,10.87,48.96,40.17
15003001502,"Census Tract 15.02, Honolulu County, Hawaii",ACSSF,hi,140,0,373,15,3,1502,14000US15003001502,Census Tract 15.02,,2005,105,1082,818,5.24,53.97,40.8
15003001601,"Census Tract 16.01, Honolulu County, Hawaii",ACSSF,hi,140,0,374,15,3,1601,14000US15003001601,Census Tract 16.01,,1563,157,772,634,10.04,49.39,40.56
15003001602,"Census Tract 16.02, Honolulu County, Hawaii",ACSSF,hi,140,0,375,15,3,1602,14000US15003001602,Census Tract 16.02,,1259,65,586,608,5.16,46.54,48.29
15003001700,"Census Tract 17, Honolulu County, Hawaii",ACSSF,hi,140,0,376,15,3,1700,14000US15003001700,Census Tract 17,,1677,12,486,1179,0.72,28.98,70.3
15003001801,"Census Tract 18.01, Honolulu County, Hawaii",ACSSF,hi,140,0,377,15,3,1801,14000US15003001801,Census Tract 18.01,,812,36,472,304,4.43,58.13,37.44
15003001803,"Census Tract 18.03, Honolulu County, Hawaii",ACSSF,hi,140,0,378,15,3,1803,14000US15003001803,Census Tract 18.03,,2134,96,1224,814,4.5,57.36,38.14
15003001804,"Census Tract 18.04, Honolulu County, Hawaii",ACSSF,hi,140,0,379,15,3,1804,14000US15003001804,Census Tract 18.04,,1202,73,459,670,6.07,38.19,55.74
15003001901,"Census Tract 19.01, Honolulu County, Hawaii",ACSSF,hi,140,0,380,15,3,1901,14000US15003001901,Census Tract 19.01,,404,0,219,185,0,54.21,45.79
15003001905,"Census Tract 19.05, Honolulu County, Hawaii",ACSSF,hi,140,0,381,15,3,1905,14000US15003001905,Census Tract 19.05,,1166,0,465,701,0,39.88,60.12
15003001906,"Census Tract 19.06, Honolulu County, Hawaii",ACSSF,hi,140,0,382,15,3,1906,14000US15003001906,Census Tract 19.06,,2572,142,1119,1311,5.52,43.51,50.97
15003001907,"Census Tract 19.07, Honolulu County, Hawaii",ACSSF,hi,140,0,383,15,3,1907,14000US15003001907,Census Tract 19.07,,2292,57,1288,947,2.49,56.2,41.32
15003002003,"Census Tract 20.03, Honolulu County, Hawaii",ACSSF,hi,140,0,384,15,3,2003,14000US15003002003,Census Tract 20.03,,1328,63,613,652,4.74,46.16,49.1
15003002004,"Census Tract 20.04, Honolulu County, Hawaii",ACSSF,hi,140,0,385,15,3,2004,14000US15003002004,Census Tract 20.04,,961,34,510,417,3.54,53.07,43.39
15003002005,"Census Tract 20.05, Honolulu County, Hawaii",ACSSF,hi,140,0,386,15,3,2005,14000US15003002005,Census Tract 20.05,,1535,95,751,689,6.19,48.93,44.89
15003002006,"Census Tract 20.06, Honolulu County, Hawaii",ACSSF,hi,140,0,387,15,3,2006,14000US15003002006,Census Tract 20.06,,1688,53,1001,634,3.14,59.3,37.56
15003002101,"Census Tract 21.01, Honolulu County, Hawaii",ACSSF,hi,140,0,388,15,3,2101,14000US15003002101,Census Tract 21.01,,1325,117,581,627,8.83,43.85,47.32
15003002102,"Census Tract 21.02, Honolulu County, Hawaii",ACSSF,hi,140,0,389,15,3,2102,14000US15003002102,Census Tract 21.02,,1291,72,797,422,5.58,61.74,32.69
15003002203,"Census Tract 22.03, Honolulu County, Hawaii",ACSSF,hi,140,0,390,15,3,2203,14000US15003002203,Census Tract 22.03,,1391,77,676,638,5.54,48.6,45.87
15003002204,"Census Tract 22.04, Honolulu County, Hawaii",ACSSF,hi,140,0,391,15,3,2204,14000US15003002204,Census Tract 22.04,,1053,41,536,476,3.89,50.9,45.2
15003002205,"Census Tract 22.05, Honolulu County, Hawaii",ACSSF,hi,140,0,392,15,3,2205,14000US15003002205,Census Tract 22.05,,1570,7,585,978,0.45,37.26,62.29
15003002206,"Census Tract 22.06, Honolulu County, Hawaii",ACSSF,hi,140,0,393,15,3,2206,14000US15003002206,Census Tract 22.06,,1911,195,1186,530,10.2,62.06,27.73
15003002301,"Census Tract 23.01, Honolulu County, Hawaii",ACSSF,hi,140,0,394,15,3,2301,14000US15003002301,Census Tract 23.01,,2834,84,1778,972,2.96,62.74,34.3
15003002302,"Census Tract 23.02, Honolulu County, Hawaii",ACSSF,hi,140,0,395,15,3,2302,14000US15003002302,Census Tract 23.02,,1380,162,726,492,11.74,52.61,35.65
15003002401,"Census Tract 24.01, Honolulu County, Hawaii",ACSSF,hi,140,0,396,15,3,2401,14000US15003002401,Census Tract 24.01,,2408,181,1237,990,7.52,51.37,41.11
15003002403,"Census Tract 24.03, Honolulu County, Hawaii",ACSSF,hi,140,0,397,15,3,2403,14000US15003002403,Census Tract 24.03,,1237,214,741,282,17.3,59.9,22.8
15003002404,"Census Tract 24.04, Honolulu County, Hawaii",ACSSF,hi,140,0,398,15,3,2404,14000US15003002404,Census Tract 24.04,,1168,104,615,449,8.9,52.65,38.44
15003002500,"Census Tract 25, Honolulu County, Hawaii",ACSSF,hi,140,0,399,15,3,2500,14000US15003002500,Census Tract 25,,2836,247,1625,964,8.71,57.3,33.99
15003002600,"Census Tract 26, Honolulu County, Hawaii",ACSSF,hi,140,0,400,15,3,2600,14000US15003002600,Census Tract 26,,2961,186,1530,1245,6.28,51.67,42.05
15003002701,"Census Tract 27.01, Honolulu County, Hawaii",ACSSF,hi,140,0,401,15,3,2701,14000US15003002701,Census Tract 27.01,,1892,26,1100,766,1.37,58.14,40.49
15003002702,"Census Tract 27.02, Honolulu County, Hawaii",ACSSF,hi,140,0,402,15,3,2702,14000US15003002702,Census Tract 27.02,,3963,164,1725,2074,4.14,43.53,52.33
15003002801,"Census Tract 28.01, Honolulu County, Hawaii",ACSSF,hi,140,0,403,15,3,2801,14000US15003002801,Census Tract 28.01,,1334,36,601,697,2.7,45.05,52.25
15003002802,"Census Tract 28.02, Honolulu County, Hawaii",ACSSF,hi,140,0,404,15,3,2802,14000US15003002802,Census Tract 28.02,,1817,118,883,816,6.49,48.6,44.91
15003002900,"Census Tract 29, Honolulu County, Hawaii",ACSSF,hi,140,0,405,15,3,2900,14000US15003002900,Census Tract 29,,1856,12,491,1353,0.65,26.45,72.9
15003003000,"Census Tract 30, Honolulu County, Hawaii",ACSSF,hi,140,0,406,15,3,3000,14000US15003003000,Census Tract 30,,3975,111,1383,2481,2.79,34.79,62.42
15003003102,"Census Tract 31.02, Honolulu County, Hawaii",ACSSF,hi,140,0,407,15,3,3102,14000US15003003102,Census Tract 31.02,,2725,55,920,1750,2.02,33.76,64.22
15003003103,"Census Tract 31.03, Honolulu County, Hawaii",ACSSF,hi,140,0,408,15,3,3103,14000US15003003103,Census Tract 31.03,,1430,8,720,702,0.56,50.35,49.09
15003003104,"Census Tract 31.04, Honolulu County, Hawaii",ACSSF,hi,140,0,409,15,3,3104,14000US15003003104,Census Tract 31.04,,1895,45,656,1194,2.37,34.62,63.01
15003003404,"Census Tract 34.04, Honolulu County, Hawaii",ACSSF,hi,140,0,410,15,3,3404,14000US15003003404,Census Tract 34.04,,3704,258,1599,1847,6.97,43.17,49.87
15003003408,"Census Tract 34.08, Honolulu County, Hawaii",ACSSF,hi,140,0,411,15,3,3408,14000US15003003408,Census Tract 34.08,,1717,109,971,637,6.35,56.55,37.1
15003003409,"Census Tract 34.09, Honolulu County, Hawaii",ACSSF,hi,140,0,412,15,3,3409,14000US15003003409,Census Tract 34.09,,1605,91,951,563,5.67,59.25,35.08
15003003410,"Census Tract 34.10, Honolulu County, Hawaii",ACSSF,hi,140,0,413,15,3,3410,14000US15003003410,Census Tract 34.10,,1655,401,740,514,24.23,44.71,31.06
15003003411,"Census Tract 34.11, Honolulu County, Hawaii",ACSSF,hi,140,0,414,15,3,3411,14000US15003003411,Census Tract 34.11,,1216,32,671,513,2.63,55.18,42.19
15003003412,"Census Tract 34.12, Honolulu County, Hawaii",ACSSF,hi,140,0,415,15,3,3412,14000US15003003412,Census Tract 34.12,,1507,15,336,1156,1,22.3,76.71
15003003413,"Census Tract 34.13, Honolulu County, Hawaii",ACSSF,hi,140,0,416,15,3,3413,14000US15003003413,Census Tract 34.13,,1914,144,954,816,7.52,49.84,42.63
15003003414,"Census Tract 34.14, Honolulu County, Hawaii",ACSSF,hi,140,0,417,15,3,3414,14000US15003003414,Census Tract 34.14,,3866,257,1617,1992,6.65,41.83,51.53
15003003501,"Census Tract 35.01, Honolulu County, Hawaii",ACSSF,hi,140,0,418,15,3,3501,14000US15003003501,Census Tract 35.01,,2067,156,1182,729,7.55,57.18,35.27
15003003503,"Census Tract 35.03, Honolulu County, Hawaii",ACSSF,hi,140,0,419,15,3,3503,14000US15003003503,Census Tract 35.03,,966,238,459,269,24.64,47.52,27.85
15003003504,"Census Tract 35.04, Honolulu County, Hawaii",ACSSF,hi,140,0,420,15,3,3504,14000US15003003504,Census Tract 35.04,,2604,181,1234,1189,6.95,47.39,45.66
15003003603,"Census Tract 36.03, Honolulu County, Hawaii",ACSSF,hi,140,0,421,15,3,3603,14000US15003003603,Census Tract 36.03,,2875,450,1595,830,15.65,55.48,28.87
15003003604,"Census Tract 36.04, Honolulu County, Hawaii",ACSSF,hi,140,0,422,15,3,3604,14000US15003003604,Census Tract 36.04,,1948,143,1042,763,7.34,53.49,39.17
